HotelBotanico	TenerifeNorte	PuertoDeLaCruz	g187481-d252888
HotelDonManolito	TenerifeNorte	PuertoDeLaCruz	g187481-d231691
HardRockHotel	TenerifeSur	Adeje	g315919-d4341700
Vincci	TenerifeSur	Adeje	g662606-d598367
GranMeliaPalacioIsora	TenerifeSur	GuiaDeIsora	g1773834-d945835
BlueBayBeachClub	GranCanariaSur	SanAgustin	g562818-d677815
SeasidePalmBeach	GranCanariaSur	Maspalomas	g230095-d238903
SantaCatalina	GranCanariaNorte	LasPalmas	g187472-d228489
Paradisus	GranCanariaSur	SanAgustin	g562818-d238899
LopesanVillaDelConde	GranCanariaSur	Meloneras	g2089121-d1218129
LaPalmaPrincess	LaPalma	Fuencaliente	g1175543-d638034
HotelHaciendaDeAbajo	LaPalma	Tazacorte	g1177806-d3577949
HotelValleAridane	LaPalma	LosLLanos	g659324-d573646
HotelLasOlas	LaPalma	LosCancajos	g642213-d488944
H10TaburientePlaya	LaPalma	BreñaBaja	g659966-d289252
ParadorDeElHierro	ElHierro	LasCasas	g187474-d277394
BalnearioPozoDeLaSalud	ElHierro	Sabinosa	g1189149-d1193818
HotelPuntagrande	ElHierro	LaFrontera	g2139290-d627753
HotelVillaELMocanal	ElHierro	Mocanal	g1190055-d630598
GekoHotel	ElHierro	LosLlanillos	g1190087-d26730706
HotelRiuOlivaBeachResort	Fuerteventura	Corralejo	g580322-d237064
OccidentalJandiaPlaya	Fuerteventura	MorroDelJable	g659632-d487080
H10OceanDreams	Fuerteventura	Corralejo	g580322-d10319430
RiuPalaceTresIslas	Fuerteventura	LaOliva	g580322-d237063
SBHCLubParaisoPlaya	Fuerteventura	PlayaJandia	g673234-d530489
BarceloTeguiseBeach	Lanzarote	Teguise	g659633-d287948
BarceloPlayaBlanca	Lanzarote	PlayaBlanca	g21187627-d25364890
BakourLanzaroteSplash	Lanzarote	PuertoDelCarmen	g662290-d25285109
BarcarolaClub	Lanzarote	PuertoDelCarmen	g662290-d530979
BarceloPlayaBlancaRoyalLevel	Lanzarote	PlayaBlanca	g652121-d26590866
HotelTorreDelConde	LaGomera	SanSebastian	g187470-d566709
HotelJardinTecina	LaGomera	PlayaDeSantiago	g1187912-d324473
HotelRuralImada	LaGomera	Imada	g15221426-d15216466
HotelGranRey	LaGomera	ValleGranRey	g674782-d616495
ParadorDeLaGomera	LaGomera	SanSebastian	g187470-d190895
EvitaBeach	LaGraciosa	CaletaDelSebo	g1190272-d2645782
LaPardela	LaGraciosa	CaletaDelSebo	g3360203-d25244761